mean,variance,range,mean_abs_diff,label
-43.2,2.16,5,1.7777777777777777,still
-45.4,4.24,8,2.4444444444444446,still
-46.0,6.0,8,2.2222222222222223,still
-44.6,1.44,4,1.5555555555555556,still
-45.1,8.69,9,4.0,still
-42.3,1.61,5,1.1111111111111112,still
-42.0,0.2,2,0.4444444444444444,still
-45.3,13.41,10,4.0,still
-45.0,5.4,9,2.6666666666666665,still
-45.3,6.610000000000001,8,2.111111111111111,still
-43.1,2.29,5,1.5555555555555556,still
-42.2,0.9599999999999997,4,0.8888888888888888,still
-43.9,5.089999999999999,8,2.0,still
-44.1,9.690000000000001,9,2.5555555555555554,still
-43.0,7.6,10,2.6666666666666665,still
-43.5,6.85,9,1.6666666666666667,still
-44.0,6.6,10,2.2222222222222223,still
-42.9,6.890000000000001,9,2.6666666666666665,still
-42.2,2.3600000000000003,5,1.4444444444444444,still
-42.1,0.6900000000000001,3,1.0,still
-43.4,7.239999999999999,10,2.888888888888889,still
-42.9,3.69,6,2.4444444444444446,still
-43.3,2.0100000000000002,4,0.5555555555555556,still
-43.0,0.8,3,1.1111111111111112,still
-42.6,0.44000000000000006,2,0.4444444444444444,still
-42.3,1.0099999999999998,4,1.1111111111111112,still
-42.7,0.41,2,0.5555555555555556,still
-42.6,0.6399999999999999,3,0.8888888888888888,still
-43.0,7.2,9,2.2222222222222223,still
-44.1,8.49,10,2.6666666666666665,still
-42.6,0.44000000000000006,2,0.6666666666666666,still
-42.5,0.45,2,0.6666666666666666,still
-42.5,0.25,1,0.6666666666666666,still
-43.8,6.760000000000001,9,2.5555555555555554,still
-42.4,0.8399999999999999,3,1.1111111111111112,still
-41.8,0.36,2,0.6666666666666666,still
-43.0,0.8,3,1.0,still
-43.1,0.6900000000000001,2,0.6666666666666666,still
-42.6,0.24,1,0.3333333333333333,still
-43.2,8.960000000000003,11,2.888888888888889,still
-42.9,0.69,2,1.0,still
-42.5,0.25,1,0.5555555555555556,still
-43.6,2.24,4,1.0,still
-45.1,3.09,6,2.111111111111111,still
-44.9,2.8899999999999997,5,1.7777777777777777,moving
-45.4,3.44,7,2.0,moving
-46.6,5.639999999999999,7,2.3333333333333335,moving
-45.6,2.44,5,0.7777777777777778,moving
-48.1,10.290000000000001,10,3.6666666666666665,moving
-46.6,5.039999999999999,7,2.5555555555555554,moving
-47.5,13.25,13,4.555555555555555,moving
