timestamp,signal,rx_rate,tx_rate
1767449330.8914263,-51,144.4,144.4
1767449331.0933576,-52,130.0,144.4
1767449331.295707,-53,144.4,144.4
1767449331.4975975,-49,144.4,144.4
1767449331.6997957,-49,144.4,144.4
1767449331.902332,-51,144.4,144.4
1767449332.1042306,-52,144.4,144.4
1767449332.306235,-49,144.4,144.4
1767449332.508135,-49,144.4,144.4
1767449332.7100263,-51,144.4,144.4
1767449332.9120376,-49,144.4,144.4
1767449333.1138043,-49,144.4,144.4
1767449333.3157675,-49,144.4,144.4
1767449333.5175264,-49,144.4,144.4
1767449333.7192729,-51,144.4,144.4
1767449333.9212835,-48,144.4,144.4
1767449334.1232233,-50,144.4,144.4
1767449334.3248708,-49,144.4,144.4
1767449334.5272412,-48,144.4,144.4
1767449334.7291987,-51,144.4,144.4
1767449334.9311626,-49,144.4,144.4
1767449335.1334887,-49,144.4,144.4
1767449335.3354845,-49,144.4,144.4
1767449335.5375164,-48,144.4,144.4
1767449335.7395463,-52,144.4,144.4
1767449335.9414754,-50,144.4,144.4
1767449336.1430495,-52,144.4,144.4
1767449336.345044,-53,144.4,144.4
1767449336.5475118,-48,144.4,144.4
1767449336.7497036,-49,144.4,144.4
1767449336.9526882,-50,144.4,144.4
1767449337.1545749,-48,144.4,144.4
1767449337.357154,-50,144.4,144.4
1767449337.5590785,-48,144.4,144.4
1767449337.7610157,-49,144.4,144.4
1767449337.962984,-51,144.4,144.4
1767449338.1647222,-49,144.4,144.4
1767449338.3666627,-49,144.4,144.4
1767449338.5687814,-50,144.4,144.4
1767449338.7707515,-50,144.4,144.4
1767449338.9727,-48,144.4,144.4
1767449339.174711,-49,144.4,144.4
1767449339.3771727,-50,144.4,144.4
1767449339.579054,-49,144.4,130.0
1767449339.7810261,-50,144.4,144.4
1767449339.9829123,-49,144.4,144.4
1767449340.1846309,-49,144.4,144.4
1767449340.3865552,-49,144.4,144.4
1767449340.588282,-48,144.4,144.4
1767449340.7902274,-49,144.4,144.4
1767449340.992075,-50,130.0,144.4
1767449341.1945775,-49,144.4,144.4
1767449341.396485,-49,144.4,144.4
1767449341.5997467,-49,144.4,144.4
1767449341.8020442,-50,144.4,144.4
1767449342.0039666,-50,144.4,144.4
1767449342.2059267,-50,144.4,144.4
1767449342.4078999,-51,144.4,144.4
1767449342.60977,-48,144.4,144.4
1767449342.812225,-49,144.4,144.4
1767449343.013909,-48,144.4,144.4
1767449343.2158568,-49,144.4,144.4
1767449343.4177377,-48,144.4,144.4
1767449343.6196654,-49,144.4,144.4
1767449343.8217864,-49,144.4,144.4
1767449344.0236945,-48,117.0,144.4
1767449344.2263503,-48,144.4,144.4
1767449344.4284306,-50,144.4,144.4
1767449344.6311848,-49,144.4,144.4
1767449344.83348,-49,144.4,144.4
1767449345.0356257,-49,144.4,144.4
1767449345.2376866,-49,144.4,144.4
1767449345.4402032,-50,144.4,144.4
1767449345.6422276,-49,144.4,144.4
1767449345.8447409,-47,144.4,144.4
1767449346.046912,-50,144.4,144.4
1767449346.248857,-50,144.4,144.4
1767449346.450784,-49,144.4,144.4
1767449346.6527078,-49,144.4,144.4
1767449346.8548534,-50,144.4,144.4
1767449347.0567868,-49,144.4,144.4
1767449347.2588139,-49,144.4,144.4
1767449347.4609208,-49,144.4,144.4
1767449347.6626868,-50,144.4,144.4
1767449347.8643956,-48,144.4,144.4
1767449348.0665376,-47,144.4,144.4
1767449348.268555,-49,144.4,144.4
1767449348.4705462,-49,144.4,144.4
1767449348.6724143,-49,144.4,144.4
1767449348.8744016,-48,144.4,144.4
1767449349.0761976,-48,144.4,144.4
1767449349.278163,-49,144.4,144.4
1767449349.4801486,-49,144.4,144.4
1767449349.682081,-48,144.4,144.4
1767449349.8840957,-49,144.4,130.0
1767449350.08577,-49,144.4,144.4
1767449350.2878013,-49,144.4,144.4
1767449350.4896145,-50,144.4,144.4
1767449350.6914787,-48,144.4,144.4
1767449350.8932037,-49,144.4,144.4
1767449351.0952446,-49,144.4,144.4
1767449351.2971878,-49,144.4,144.4
1767449351.499018,-49,144.4,144.4
1767449351.7011268,-49,144.4,144.4
1767449351.903225,-49,144.4,144.4
1767449352.10513,-48,144.4,144.4
1767449352.3071918,-48,144.4,144.4
1767449352.5091717,-49,144.4,144.4
1767449352.7112286,-48,144.4,144.4
1767449352.9136462,-49,144.4,144.4
1767449353.115859,-49,130.0,144.4
1767449353.3178687,-49,144.4,144.4
1767449353.5196695,-49,144.4,144.4
1767449353.7212565,-49,144.4,144.4
1767449353.9230938,-50,144.4,144.4
1767449354.1250522,-49,144.4,144.4
1767449354.3269906,-52,144.4,144.4
1767449354.5293493,-49,144.4,144.4
1767449354.7312474,-49,144.4,144.4
1767449354.933364,-49,144.4,144.4
1767449355.1360626,-49,144.4,144.4
1767449355.338039,-48,144.4,144.4
1767449355.540075,-48,144.4,144.4
1767449355.7419436,-49,144.4,144.4
1767449355.9438007,-50,144.4,144.4
1767449356.1462042,-47,144.4,144.4
1767449356.3481581,-49,144.4,144.4
1767449356.5500026,-49,144.4,144.4
1767449356.7526262,-48,144.4,144.4
1767449356.9545372,-50,144.4,144.4
1767449357.1564257,-50,144.4,144.4
1767449357.3589246,-49,144.4,144.4
1767449357.5608988,-49,144.4,144.4
1767449357.7627833,-50,144.4,144.4
1767449357.9654117,-48,144.4,144.4
1767449358.16757,-48,144.4,144.4
1767449358.369654,-49,144.4,144.4
1767449358.5715585,-48,144.4,144.4
1767449358.7734058,-50,144.4,144.4
1767449358.9753342,-49,144.4,144.4
1767449359.1772606,-50,144.4,144.4
1767449359.3788424,-49,144.4,144.4
1767449359.5807323,-51,144.4,144.4
1767449359.7842476,-48,144.4,144.4
1767449359.986273,-50,144.4,144.4
1767449360.1881356,-48,144.4,144.4
1767449360.39012,-47,144.4,144.4
1767449360.592044,-51,144.4,144.4
1767449360.7953556,-49,144.4,144.4
1767449360.998656,-49,144.4,144.4
1767449361.2004123,-48,144.4,144.4
1767449361.4024925,-49,144.4,144.4
1767449361.604401,-48,130.0,144.4
1767449361.806165,-48,144.4,144.4
1767449362.0081575,-48,144.4,144.4
1767449362.2102618,-48,144.4,144.4
1767449362.4120915,-49,144.4,144.4
