timestamp,signal,rx_rate,tx_rate
1767449075.036177,-44,144.4,117.0
1767449075.2384279,-48,144.4,117.0
1767449075.440373,-44,144.4,117.0
1767449075.642254,-44,144.4,117.0
1767449075.8441627,-44,130.0,104.0
1767449076.0466337,-44,144.4,104.0
1767449076.2491472,-44,144.4,104.0
1767449076.451066,-43,144.4,104.0
1767449076.6529818,-48,144.4,104.0
1767449076.8548899,-46,144.4,104.0
1767449077.0568864,-45,144.4,104.0
1767449077.259314,-47,144.4,104.0
1767449077.4612606,-50,144.4,104.0
1767449077.6633613,-45,130.0,104.0
1767449077.8652737,-44,130.0,104.0
1767449078.0673206,-43,144.4,104.0
1767449078.269209,-46,144.4,104.0
1767449078.4713147,-44,144.4,104.0
1767449078.6732469,-45,144.4,104.0
1767449078.875264,-45,144.4,104.0
1767449079.0776134,-49,144.4,104.0
1767449079.27951,-50,144.4,104.0
1767449079.4820092,-45,144.4,104.0
1767449079.6839097,-48,144.4,104.0
1767449079.8862705,-49,144.4,104.0
1767449080.0882337,-46,144.4,104.0
1767449080.2903998,-44,144.4,104.0
1767449080.492762,-44,144.4,104.0
1767449080.694654,-43,144.4,104.0
1767449080.8967369,-48,144.4,104.0
1767449081.0987248,-46,144.4,104.0
1767449081.3007152,-45,144.4,104.0
1767449081.502731,-45,144.4,104.0
1767449081.7053192,-45,144.4,104.0
1767449081.9072437,-44,144.4,104.0
1767449082.109249,-44,144.4,104.0
1767449082.3111465,-44,144.4,104.0
1767449082.5130901,-47,144.4,104.0
1767449082.7150466,-47,144.4,104.0
1767449082.9170628,-49,144.4,104.0
1767449083.1190138,-46,144.4,104.0
1767449083.3208342,-44,144.4,104.0
1767449083.522666,-49,144.4,104.0
1767449083.724642,-53,144.4,104.0
1767449083.9266055,-49,144.4,104.0
1767449084.1284645,-49,144.4,104.0
1767449084.3304214,-54,144.4,104.0
1767449084.532877,-45,144.4,104.0
1767449084.7347255,-47,144.4,104.0
1767449084.9366813,-45,144.4,104.0
1767449085.1385775,-50,144.4,104.0
1767449085.340604,-46,144.4,104.0
1767449085.5432348,-45,144.4,104.0
1767449085.7454145,-49,144.4,104.0
1767449085.9475195,-44,144.4,104.0
1767449086.1495063,-43,144.4,104.0
1767449086.351532,-45,130.0,104.0
1767449086.553475,-48,130.0,104.0
1767449086.7560992,-47,130.0,104.0
1767449086.9581466,-49,130.0,104.0
1767449087.160436,-48,130.0,104.0
1767449087.3623967,-57,130.0,104.0
1767449087.5641878,-45,117.0,104.0
1767449087.766103,-44,117.0,104.0
1767449087.9681633,-49,130.0,104.0
1767449088.1704686,-47,130.0,104.0
1767449088.3725617,-49,130.0,104.0
1767449088.5743718,-44,144.4,104.0
1767449088.776461,-47,130.0,104.0
1767449088.978378,-45,130.0,104.0
1767449089.1803982,-46,104.0,104.0
1767449089.3828566,-49,104.0,104.0
1767449089.5848315,-48,78.0,104.0
1767449089.7867892,-46,78.0,104.0
1767449089.988598,-47,104.0,104.0
1767449090.1908183,-51,104.0,104.0
1767449090.3940067,-48,117.0,104.0
1767449090.5959232,-50,104.0,104.0
1767449090.7978685,-50,130.0,104.0
1767449090.999716,-53,78.0,115.6
1767449091.2015386,-50,104.0,115.6
1767449091.4031744,-47,117.0,115.6
1767449091.6051707,-49,130.0,115.6
1767449091.8070214,-50,144.4,115.6
1767449092.0088775,-49,117.0,115.6
1767449092.2108722,-47,144.4,115.6
1767449092.4126568,-46,144.4,115.6
1767449092.6146376,-49,144.4,115.6
1767449092.8166537,-48,144.4,115.6
1767449093.018994,-47,144.4,115.6
1767449093.2212002,-48,144.4,115.6
1767449093.4230442,-52,144.4,115.6
1767449093.6250417,-47,144.4,130.0
1767449093.8275614,-47,144.4,130.0
1767449094.0295434,-48,144.4,130.0
1767449094.2315378,-48,104.0,130.0
1767449094.4332929,-47,117.0,115.6
1767449094.6351483,-48,104.0,130.0
1767449094.837137,-47,104.0,130.0
1767449095.039258,-47,104.0,144.4
1767449095.2412093,-47,104.0,144.4
1767449095.444012,-48,117.0,144.4
1767449095.6466422,-47,144.4,144.4
1767449095.848674,-47,144.4,144.4
1767449096.0507267,-48,144.4,144.4
1767449096.2525353,-48,144.4,144.4
1767449096.4544241,-47,117.0,144.4
1767449096.6561706,-48,130.0,144.4
1767449096.8584177,-48,144.4,144.4
1767449097.0602674,-49,144.4,144.4
1767449097.262153,-49,144.4,144.4
1767449097.4640474,-49,144.4,144.4
1767449097.6658592,-47,144.4,144.4
1767449097.8677504,-47,144.4,144.4
1767449098.0697117,-47,144.4,144.4
1767449098.2724788,-47,144.4,144.4
1767449098.4745681,-48,117.0,144.4
1767449098.6765928,-48,144.4,144.4
1767449098.8786275,-48,144.4,144.4
1767449099.0807009,-48,144.4,144.4
1767449099.282753,-48,144.4,144.4
1767449099.484865,-46,144.4,144.4
1767449099.6866112,-49,144.4,144.4
1767449099.888625,-45,144.4,144.4
1767449100.0906422,-46,144.4,144.4
1767449100.2925916,-48,144.4,144.4
1767449100.4945273,-46,130.0,144.4
1767449100.696458,-47,130.0,144.4
1767449100.8983924,-47,144.4,144.4
1767449101.1003482,-52,144.4,144.4
1767449101.3031316,-49,144.4,144.4
1767449101.5052836,-49,144.4,144.4
1767449101.7073486,-54,144.4,144.4
1767449101.909371,-53,144.4,144.4
1767449102.112063,-52,144.4,144.4
1767449102.3140666,-52,144.4,144.4
1767449102.515904,-48,144.4,144.4
1767449102.7179394,-49,144.4,144.4
1767449102.9201136,-49,144.4,144.4
1767449103.122778,-46,144.4,144.4
1767449103.324764,-49,144.4,144.4
1767449103.5271652,-47,144.4,144.4
1767449103.7293563,-48,144.4,144.4
1767449103.9315207,-48,144.4,144.4
1767449104.134482,-48,144.4,144.4
1767449104.3363883,-49,144.4,144.4
1767449104.5383482,-48,104.0,144.4
1767449104.7404714,-46,104.0,144.4
1767449104.9423895,-45,130.0,144.4
1767449105.144237,-46,144.4,144.4
1767449105.3461592,-51,144.4,144.4
1767449105.5480578,-47,144.4,144.4
1767449105.7516756,-48,144.4,144.4
1767449105.953778,-49,144.4,144.4
1767449106.1558454,-49,144.4,144.4
1767449106.3578262,-50,144.4,144.4
1767449106.5597713,-49,144.4,144.4
1767449106.7625062,-53,144.4,144.4
1767449106.9648752,-52,144.4,144.4
1767449107.1668415,-51,144.4,144.4
1767449107.3687592,-51,144.4,144.4
1767449107.5705807,-50,144.4,144.4
1767449107.7731771,-47,144.4,144.4
1767449107.9751444,-51,144.4,144.4
1767449108.1772826,-49,144.4,144.4
1767449108.379325,-52,144.4,144.4
1767449108.5813591,-51,144.4,144.4
1767449108.7835727,-51,144.4,144.4
1767449108.9855063,-48,144.4,144.4
1767449109.1873024,-48,144.4,144.4
1767449109.3893323,-48,144.4,144.4
1767449109.5918124,-49,144.4,144.4
1767449109.793805,-51,144.4,144.4
1767449109.9960797,-50,144.4,144.4
1767449110.198104,-48,144.4,144.4
1767449110.3999794,-49,144.4,144.4
1767449110.602212,-49,144.4,144.4
1767449110.8043323,-49,144.4,144.4
1767449111.0064054,-50,144.4,144.4
1767449111.2083664,-50,144.4,144.4
1767449111.4106421,-48,144.4,144.4
1767449111.6125925,-50,144.4,144.4
1767449111.8150783,-48,144.4,144.4
1767449112.0169506,-49,144.4,144.4
1767449112.218705,-48,144.4,144.4
1767449112.420624,-48,144.4,144.4
1767449112.6223977,-49,144.4,144.4
1767449112.8244042,-48,144.4,144.4
1767449113.0263538,-48,144.4,144.4
1767449113.2282727,-50,144.4,144.4
1767449113.4303102,-49,144.4,144.4
1767449113.632628,-48,144.4,144.4
1767449113.8346772,-49,144.4,144.4
1767449114.0368903,-49,144.4,144.4
1767449114.2387338,-48,144.4,144.4
1767449114.4406476,-50,144.4,144.4
1767449114.6425579,-52,144.4,144.4
1767449114.8445861,-52,144.4,144.4
1767449115.0471585,-50,144.4,144.4
1767449115.249075,-52,144.4,144.4
1767449115.450853,-45,130.0,144.4
1767449115.6528258,-47,144.4,144.4
1767449115.8547778,-50,144.4,144.4
1767449116.0573397,-50,144.4,144.4
1767449116.2594569,-48,144.4,144.4
1767449116.461527,-48,144.4,144.4
1767449116.6637008,-48,144.4,144.4
1767449116.8665662,-46,144.4,144.4
